Time,Latitude (deg): ,Longitude (deg): ,Altitude(mm),Pulse,SATS
161464,39.308533,-119.918159,2780277,0,12
161680,39.308533,-119.918159,2780300,0,12
161895,39.308533,-119.918159,2780320,0,12
162060,39.308533,-119.918159,2780334,0,12
162280,39.308533,-119.918159,2780351,0,12
162495,39.308533,-119.918159,2780368,0,12
162660,39.308533,-119.918159,2780370,0,12
162875,39.308533,-119.918159,2780399,0,12
163090,39.308533,-119.918159,2780411,0,12
163255,39.308533,-119.918159,2780427,0,12
163478,39.308533,-119.918159,2780421,0,12
163693,39.308533,-119.918159,2780415,0,11
163857,39.308533,-119.918159,2780400,0,11
164072,39.308533,-119.918159,2780393,0,11
164287,39.308533,-119.918159,2780383,0,11
164453,39.308533,-119.918159,2780356,0,11
164672,39.308533,-119.918159,2780350,0,11
164888,39.308533,-119.918159,2780341,0,12
165102,39.308533,-119.918159,2780342,0,12
165267,39.308533,-119.918159,2780321,0,12
165482,39.308533,-119.918159,2780301,0,12
165697,39.308533,-119.918159,2780303,0,12
165862,39.308533,-119.918159,2780279,0,12
166077,39.308533,-119.918159,2780268,0,12
166292,39.308533,-119.918159,2780244,0,12
166457,39.308533,-119.918159,2780234,0,12
166672,39.308533,-119.918159,2780217,0,12
166887,39.308533,-119.918159,2780188,0,12
167105,39.308533,-119.918159,2780178,0,12
167271,39.308533,-119.918159,2780179,0,12
167485,39.308533,-119.918159,2780157,0,12
167700,39.308533,-119.918159,2780147,1,12
167866,39.308533,-119.918159,2780119,1,12
168081,39.308533,-119.918159,2780110,1,12
168297,39.308533,-119.918159,2780080,1,12
168462,39.308533,-119.918159,2780054,1,12
168676,39.308533,-119.918159,2780042,1,12
168892,39.308533,-119.918159,2780014,1,12
169056,39.308533,-119.918159,2779989,1,12
169272,39.308533,-119.918159,2779976,1,12
169492,39.308533,-119.918159,2779955,1,12
169657,39.308533,-119.918159,2779943,1,12
169872,39.308533,-119.918159,2779922,1,12
170087,39.308533,-119.918159,2779915,1,12
170302,39.308533,-119.918159,2779891,1,12
170467,39.308533,-119.918159,2779881,1,12
170682,39.308533,-119.918159,2779867,1,12
170897,39.308533,-119.918159,2779853,1,12
171062,39.308533,-119.918159,2779839,1,12
171277,39.308533,-119.918159,2779814,1,12
171493,39.308533,-119.918159,2779804,0,12
171659,39.308533,-119.918159,2779779,0,12
171879,39.308533,-119.918159,2779776,0,12
172093,39.308533,-119.918159,2779763,0,12
172259,39.308533,-119.918159,2779742,0,12
172474,39.308533,-119.918159,2779719,0,12
172689,39.308533,-119.918159,2779709,0,12
172854,39.308533,-119.918159,2779688,0,12
173069,39.308533,-119.918159,2779664,0,12
173284,39.308533,-119.918159,2779643,0,12
173450,39.308533,-119.918159,2779626,0,12
173667,39.308533,-119.918159,2779608,0,12
173881,39.308533,-119.918159,2779572,1,12
174047,39.308533,-119.918159,2779557,1,12
174270,39.308533,-119.918159,2779530,1,12
174484,39.308533,-119.918159,2779511,1,12
174651,39.308533,-119.918159,2779482,1,12
174865,39.308533,-119.918159,2779463,1,12
175081,39.308533,-119.918159,2779428,1,12
175245,39.308533,-119.918159,2779412,1,12
175461,39.308533,-119.918159,2779385,1,12
175674,39.308533,-119.918159,2779370,1,12
175890,39.308533,-119.918159,2779347,1,12
176056,39.308533,-119.918159,2779322,1,12
176270,39.308533,-119.918159,2779312,1,12
176486,39.308533,-119.918159,2779298,1,12
176654,39.308533,-119.918159,2779286,1,12
176870,39.308533,-119.918159,2779268,1,12
177084,39.308533,-119.918159,2779252,1,12
177248,39.308533,-119.918159,2779233,1,12
177463,39.308533,-119.918159,2779218,1,12
177679,39.308533,-119.918159,2779199,1,12
177893,39.308533,-119.918159,2779179,1,12
178060,39.308533,-119.918159,2779172,1,12
178275,39.308533,-119.918159,2779166,1,12
178490,39.308533,-119.918159,2779154,1,12
178656,39.308533,-119.918159,2779144,1,12
178870,39.308533,-119.918167,2779131,1,12
179090,39.308533,-119.918167,2779121,1,12
179257,39.308533,-119.918167,2779116,0,12
179472,39.308533,-119.918167,2779106,0,12
179689,39.308533,-119.918167,2779103,0,12
179852,39.308533,-119.918167,2779091,1,12
180067,39.308533,-119.918167,2779095,1,12
180283,39.308533,-119.918167,2779081,1,12
180448,39.308533,-119.918167,2779074,1,12
180663,39.308533,-119.918167,2779073,1,12
180879,39.308533,-119.918167,2779064,1,12
181093,39.308533,-119.918167,2779047,1,12
181259,39.308533,-119.918167,2779035,1,12
181479,39.308533,-119.918167,2779036,1,12
181694,39.308533,-119.918167,2779023,1,12
181860,39.308533,-119.918167,2779006,1,12
182075,39.308533,-119.918167,2779008,1,12
182290,39.308533,-119.918167,2778989,1,12
